lemma;significato;categoria;note
Αγάθον/ωνος,ο;Agatone;Sostantivo;Terza declinazione, Figlio di Priamo
Αγαθώνυμος/ου,ο;Agatonimo;Sostantivo;Seconda declinazione
αγαθοσύνη/ης,α;Bontà, Benevolenza;Sostantivo;Prima declinazione
αγαίομαι;Sono irritato, Sono stupito, Ammiro;Verbo;Medio deponente
αγαῖος/ία/ῖον;Ammirabile, Invidiabile;Aggettivo;Prima classe
Αγαῖος,ο;Ageo;Sostantivo;Seconda declinazione
αγακλεής/ές;Celeberrimo, Famoso, Glorioso;Aggettivo;Seconda classe
αγακλεῶς;Gloriosamente;Avverbio;
Αγακλεής/ῆος,ο;Agacleo;Sostantivo;Terza Declinazione; Uno dei Mirmidoni
αγακλειτός/ή/όν;Famoso, Celebre, Illustre;Aggettivo;Prima classe
αγακλυμένη;Celeberrima;Aggettivo;Arcaico
αγακλυτός/ή/όν;Illustre, Famoso;aggettivo;Prima classe
αγαλακτία/ας,η;Mancanza di latte;Sostantivo;Prima declinazione
αγάλακτος/ον;Senza latte, Svezzato;Aggettivo;Prima classe
αγαλακτοσύνη/ης,η;Consanguineità;Sostantivo;Prima declinazione
αγαλλίασις/εως,η;Esultanza;Aggettivo;Seconda classe
αγάλλοχον/ου,τό;Legno di Aloe;Sostantivo;Seconda declinazione, Un legno aromatico proveniente dall'India usato per incensi, profumi e a scopo medicinale
αγάλλω;Onoro, Celebro;Verbo;Significato al Medio --> Mi compiaccio, Esulto
άγαλμα/τος,τό;Ornamento, Statua;Sostantivo;Terza declinazione
αγαλματίας/ου,ο;Bello come una statua;Sostantivo;Prima declinazione
αγαλμάτιον/ου,τό;Statuetta, Immaginetta;Sostantivo;Seconda declinazione
αγαλματογλύφος/ου,ο;Scultore;Sostantivo;Seconda declinazione
αγαλματοποιέω;Faccio statue;verbo;Verbo contratto
αγαλματοπιία,η;Arte statuaria, Scultura;Sostantivo;Prima declinazione
αγαλματοποιός/οῦ,ο;Scultore;Sostantivo;Seconda declinazione
αγαλματοποιϊκός/ή/όν;Per fare statue;Aggettivo;Prima classe
αγαλματοπώλης/ου,ο;Venditore di immagini;Sostantivo;Prima declinazione
αγαλματουργός/οῦ,ο;Scultore;Sostantivo;Seconda declinazione
αγαλματουργικός/ή/όν;Scultorio;Aggettivo;Prima classe
αγαλματοφορέω;Porto nel cuore l'immagine;Verbo;Verbo contratto
αγαλματόω;Muto in statua;Verbo;Verbo contratto
αγαλμοειδής/ές;Bello come una statua;Aggettivo;Seconda classe
αγαλμοτυπεύς,ο;Scultore;Sostantivo;Terza declinazione
άγαλμαι;Guardo attonito, Ammiro, Invidio, Mi adiro;Verbo;Medio deponente
Αγαμέμνων/ονος,ο;Agamennone;Sostantivo;Terza declinazione, Re miceneo e Capo della spedizione greca presso Troia/Ilio
Αγαμεμνόνεος/α/ον;Di Agamennone;Aggettivo;Prima classe
Αγαμεμνονίδης/ου,ο;Figlio di Agamennone;Sostantivo;Prima declinazione
αγαμένως;Con riverenza/ammirazione/piacere;Avverbio;
Αγαμήδη/ης,η;Agamede;Sostantivo;Prima declinazione
Αγαμήδης/ους,ο;Agamede;Sostantivo;Terza declinazione
Αγαμήστωρ/ορος,ο;Agamestore;Sostantivo;Terza declinazione
αγαμία,η;Celibato;Sostantivo;Prima declinazione
άγαμος/ον;Celibe;Aggettivo;Prima classe
άγαν;Molto, Assai, Troppo;Avverbio;
αγανακτέω;Sono eccitato/irritato, Irrito, Mi adiro;Verbo;Verbo contratto 
αγανάκτησις/εως,η;Infiammazione, Irritazione;Sostantivo;Terza declinazione
αγανακτητικός/ή/όν;Intollerante, Irritabile;Aggettivo;Prima classe
αγανακτητός/ή/όν;Irritante;Aggettivo;Prima classe
αγανακτικῶς;Con irritazione;Avverbio;
Αγάνιππος,ο;Aganippo;Sostantivo;Seconda declinazione
Αγανίππη,η;Aganippe;Sostantivo;Prima declinazione, Fonte sul monte Elicona
αγάνιφος/ον;Coperto di molta neve, Nevoso;Aggettivo;Prima classe
αγανοβλέφαρος/ον;Dal dolce sguardo;Aggettivo;Prima classe
αγανός/ή/όν;Amabile, Dolce, Mite;Aggettivo;Prima classe
αγανῶπις/ιδος,η;Dal dolce sguardo;Sostantivo;Terza declinazione
αγανῶς;Benignamente, Dolcemente;Avverbio;
αγάνωτος/ον;Non stagnato;Aggettivo;Prima classe
